'worldPose: x: -12.212584,y: 290.161191,theta: 1.427083, gridPosition: x: 0, y: 0'
'worldPose: x: -12.212584,y: 290.161191,theta: 1.427083, gridPosition: x: 0, y: 0'
'worldPose: x: -12.212274,y: 290.170096,theta: 1.426988, gridPosition: x: 0, y: 0'
'worldPose: x: -12.212274,y: 290.170096,theta: 1.426988, gridPosition: x: 0, y: 0'
'worldPose: x: -12.212274,y: 290.170096,theta: 1.426988, gridPosition: x: 0, y: 0'
'worldPose: x: -12.211788,y: 290.185467,theta: 1.427517, gridPosition: x: 0, y: 0'
'worldPose: x: -12.211788,y: 290.185467,theta: 1.427517, gridPosition: x: 0, y: 0'
'worldPose: x: -12.210459,y: 290.195365,theta: 1.428357, gridPosition: x: 0, y: 0'
'worldPose: x: -12.210459,y: 290.195365,theta: 1.428357, gridPosition: x: 0, y: 0'
'worldPose: x: -12.210459,y: 290.195365,theta: 1.428357, gridPosition: x: 0, y: 0'
'worldPose: x: -12.208922,y: 290.208183,theta: 1.428355, gridPosition: x: 0, y: 0'
'worldPose: x: -12.208922,y: 290.208183,theta: 1.428355, gridPosition: x: 0, y: 0'
'worldPose: x: -12.207413,y: 290.219467,theta: 1.427608, gridPosition: x: 0, y: 0'
'worldPose: x: -12.207413,y: 290.219467,theta: 1.427608, gridPosition: x: 0, y: 0'
'worldPose: x: -12.207413,y: 290.219467,theta: 1.427608, gridPosition: x: 0, y: 0'
'worldPose: x: -12.206454,y: 290.228624,theta: 1.427703, gridPosition: x: 0, y: 0'
'worldPose: x: -12.206454,y: 290.228624,theta: 1.427703, gridPosition: x: 0, y: 0'
'worldPose: x: -12.205172,y: 290.239372,theta: 1.428981, gridPosition: x: 0, y: 0'
'worldPose: x: -12.205172,y: 290.239372,theta: 1.428981, gridPosition: x: 0, y: 0'
'worldPose: x: -12.205172,y: 290.239372,theta: 1.428981, gridPosition: x: 0, y: 0'
'worldPose: x: -12.204875,y: 290.248653,theta: 1.429066, gridPosition: x: 0, y: 0'
'worldPose: x: -12.204875,y: 290.248653,theta: 1.429066, gridPosition: x: 0, y: 0'
'worldPose: x: -12.203177,y: 290.257289,theta: 1.428261, gridPosition: x: 0, y: 0'
'worldPose: x: -12.203177,y: 290.257289,theta: 1.428261, gridPosition: x: 0, y: 0'
'worldPose: x: -12.203177,y: 290.257289,theta: 1.428261, gridPosition: x: 0, y: 0'
'worldPose: x: -12.203115,y: 290.267540,theta: 1.428739, gridPosition: x: 0, y: 0'
'worldPose: x: -12.203115,y: 290.267540,theta: 1.428739, gridPosition: x: 0, y: 0'
'worldPose: x: -12.200744,y: 290.279466,theta: 1.428490, gridPosition: x: 0, y: 0'
'worldPose: x: -12.200744,y: 290.279466,theta: 1.428490, gridPosition: x: 0, y: 0'
'worldPose: x: -12.200744,y: 290.279466,theta: 1.428490, gridPosition: x: 0, y: 0'
'worldPose: x: -12.199068,y: 290.291261,theta: 1.426220, gridPosition: x: 0, y: 0'
'worldPose: x: -12.199068,y: 290.291261,theta: 1.426220, gridPosition: x: 0, y: 0'
'worldPose: x: -12.197665,y: 290.306658,theta: 1.425522, gridPosition: x: 0, y: 0'
'worldPose: x: -12.197665,y: 290.306658,theta: 1.425522, gridPosition: x: 0, y: 0'
'worldPose: x: -12.197665,y: 290.306658,theta: 1.425522, gridPosition: x: 0, y: 0'
'worldPose: x: -12.196841,y: 290.317296,theta: 1.425555, gridPosition: x: 0, y: 0'
'worldPose: x: -12.196841,y: 290.317296,theta: 1.425555, gridPosition: x: 0, y: 0'
'worldPose: x: -12.195501,y: 290.327993,theta: 1.424960, gridPosition: x: 0, y: 0'
'worldPose: x: -12.195501,y: 290.327993,theta: 1.424960, gridPosition: x: 0, y: 0'
'worldPose: x: -12.195501,y: 290.327993,theta: 1.424960, gridPosition: x: 0, y: 0'
'worldPose: x: -12.192862,y: 290.338802,theta: 1.423628, gridPosition: x: 0, y: 0'
'worldPose: x: -12.192862,y: 290.338802,theta: 1.423628, gridPosition: x: 0, y: 0'
'worldPose: x: -12.191401,y: 290.348252,theta: 1.422727, gridPosition: x: 0, y: 0'
'worldPose: x: -12.191401,y: 290.348252,theta: 1.422727, gridPosition: x: 0, y: 0'
'worldPose: x: -12.191401,y: 290.348252,theta: 1.422727, gridPosition: x: 0, y: 0'
'worldPose: x: -12.190321,y: 290.360184,theta: 1.421667, gridPosition: x: 0, y: 0'
'worldPose: x: -12.190321,y: 290.360184,theta: 1.421667, gridPosition: x: 0, y: 0'
'worldPose: x: -12.188729,y: 290.369595,theta: 1.419755, gridPosition: x: 0, y: 0'
'worldPose: x: -12.188729,y: 290.369595,theta: 1.419755, gridPosition: x: 0, y: 0'
'worldPose: x: -12.188729,y: 290.369595,theta: 1.419755, gridPosition: x: 0, y: 0'
'worldPose: x: -12.187394,y: 290.380284,theta: 1.419382, gridPosition: x: 0, y: 0'
'worldPose: x: -12.187394,y: 290.380284,theta: 1.419382, gridPosition: x: 0, y: 0'
'worldPose: x: -12.186181,y: 290.391644,theta: 1.418582, gridPosition: x: 0, y: 0'
'worldPose: x: -12.186181,y: 290.391644,theta: 1.418582, gridPosition: x: 0, y: 0'
'worldPose: x: -12.186181,y: 290.391644,theta: 1.418582, gridPosition: x: 0, y: 0'
'worldPose: x: -12.185166,y: 290.403221,theta: 1.417076, gridPosition: x: 0, y: 0'
'worldPose: x: -12.185166,y: 290.403221,theta: 1.417076, gridPosition: x: 0, y: 0'
'worldPose: x: -12.184022,y: 290.412095,theta: 1.416515, gridPosition: x: 0, y: 0'
'worldPose: x: -12.184022,y: 290.412095,theta: 1.416515, gridPosition: x: 0, y: 0'
'worldPose: x: -12.184022,y: 290.412095,theta: 1.416515, gridPosition: x: 0, y: 0'
'worldPose: x: -12.181475,y: 290.424064,theta: 1.416910, gridPosition: x: 0, y: 0'
'worldPose: x: -12.181475,y: 290.424064,theta: 1.416910, gridPosition: x: 0, y: 0'
'worldPose: x: -12.179315,y: 290.439820,theta: 1.414979, gridPosition: x: 0, y: 0'
'worldPose: x: -12.179315,y: 290.439820,theta: 1.414979, gridPosition: x: 0, y: 0'
'worldPose: x: -12.179315,y: 290.439820,theta: 1.414979, gridPosition: x: 0, y: 0'
'worldPose: x: -12.176742,y: 290.458342,theta: 1.412988, gridPosition: x: 0, y: 0'
'worldPose: x: -12.176742,y: 290.458342,theta: 1.412988, gridPosition: x: 0, y: 0'
'worldPose: x: -12.173045,y: 290.481486,theta: 1.411422, gridPosition: x: 0, y: 0'
'worldPose: x: -12.173045,y: 290.481486,theta: 1.411422, gridPosition: x: 0, y: 0'
'worldPose: x: -12.173045,y: 290.481486,theta: 1.411422, gridPosition: x: 0, y: 0'
'worldPose: x: -12.169504,y: 290.505757,theta: 1.408407, gridPosition: x: 0, y: 0'
'worldPose: x: -12.169504,y: 290.505757,theta: 1.408407, gridPosition: x: 0, y: 0'
'worldPose: x: -12.165243,y: 290.531874,theta: 1.405780, gridPosition: x: 0, y: 0'
'worldPose: x: -12.165243,y: 290.531874,theta: 1.405780, gridPosition: x: 0, y: 0'
'worldPose: x: -12.165243,y: 290.531874,theta: 1.405780, gridPosition: x: 0, y: 0'
'worldPose: x: -12.160785,y: 290.551947,theta: 1.404016, gridPosition: x: 0, y: 0'
'worldPose: x: -12.160785,y: 290.551947,theta: 1.404016, gridPosition: x: 0, y: 0'
'worldPose: x: -12.159921,y: 290.572173,theta: 1.401453, gridPosition: x: 0, y: 0'
'worldPose: x: -12.159921,y: 290.572173,theta: 1.401453, gridPosition: x: 0, y: 0'
'worldPose: x: -12.159921,y: 290.572173,theta: 1.401453, gridPosition: x: 0, y: 0'
'worldPose: x: -12.157340,y: 290.590995,theta: 1.399000, gridPosition: x: 0, y: 0'
'worldPose: x: -12.157340,y: 290.590995,theta: 1.399000, gridPosition: x: 0, y: 0'
'worldPose: x: -12.153398,y: 290.614288,theta: 1.397018, gridPosition: x: 0, y: 0'
'worldPose: x: -12.153398,y: 290.614288,theta: 1.397018, gridPosition: x: 0, y: 0'
'worldPose: x: -12.153398,y: 290.614288,theta: 1.397018, gridPosition: x: 0, y: 0'
'worldPose: x: -12.147752,y: 290.639816,theta: 1.392880, gridPosition: x: 0, y: 0'
'worldPose: x: -12.147752,y: 290.639816,theta: 1.392880, gridPosition: x: 0, y: 0'
'worldPose: x: -12.141136,y: 290.661975,theta: 1.387977, gridPosition: x: 0, y: 0'
'worldPose: x: -12.141136,y: 290.661975,theta: 1.387977, gridPosition: x: 0, y: 0'
'worldPose: x: -12.141136,y: 290.661975,theta: 1.387977, gridPosition: x: 0, y: 0'
'worldPose: x: -12.137416,y: 290.679967,theta: 1.383904, gridPosition: x: 0, y: 0'
'worldPose: x: -12.137416,y: 290.679967,theta: 1.383904, gridPosition: x: 0, y: 0'
'worldPose: x: -12.130384,y: 290.717794,theta: 1.384151, gridPosition: x: 0, y: 0'
'worldPose: x: -12.130384,y: 290.717794,theta: 1.384151, gridPosition: x: 0, y: 0'
'worldPose: x: -12.130384,y: 290.717794,theta: 1.384151, gridPosition: x: 0, y: 0'
'worldPose: x: -12.127878,y: 290.738717,theta: 1.379221, gridPosition: x: 0, y: 0'
'worldPose: x: -12.127878,y: 290.738717,theta: 1.379221, gridPosition: x: 0, y: 0'
'worldPose: x: -12.122486,y: 290.759036,theta: 1.375281, gridPosition: x: 0, y: 0'
'worldPose: x: -12.122486,y: 290.759036,theta: 1.375281, gridPosition: x: 0, y: 0'
'worldPose: x: -12.122486,y: 290.759036,theta: 1.375281, gridPosition: x: 0, y: 0'
'worldPose: x: -12.118512,y: 290.765636,theta: 1.371559, gridPosition: x: 0, y: 0'
'worldPose: x: -12.118512,y: 290.765636,theta: 1.371559, gridPosition: x: 0, y: 0'
'worldPose: x: -12.112372,y: 290.789079,theta: 1.368445, gridPosition: x: 0, y: 0'
