'worldPose: x: 2.020169,y: 0.175268,theta: -0.335695, gridPosition: x: 0, y: 0'
'worldPose: x: 2.028343,y: 0.172396,theta: -0.338918, gridPosition: x: 0, y: 0'
'worldPose: x: 2.040428,y: 0.168031,theta: -0.359507, gridPosition: x: 0, y: 0'
'worldPose: x: 2.051143,y: 0.163982,theta: -0.362500, gridPosition: x: 0, y: 0'
'worldPose: x: 2.061539,y: 0.160039,theta: -0.361377, gridPosition: x: 0, y: 0'
'worldPose: x: 2.069986,y: 0.156839,theta: -0.362691, gridPosition: x: 0, y: 0'
'worldPose: x: 2.083304,y: 0.151787,theta: -0.360613, gridPosition: x: 0, y: 0'
'worldPose: x: 2.093356,y: 0.147974,theta: -0.363781, gridPosition: x: 0, y: 0'
'worldPose: x: 2.103119,y: 0.144331,theta: -0.345589, gridPosition: x: 0, y: 0'
'worldPose: x: 2.112903,y: 0.140787,theta: -0.348761, gridPosition: x: 0, y: 0'
'worldPose: x: 2.122681,y: 0.137194,theta: -0.355501, gridPosition: x: 0, y: 0'
'worldPose: x: 2.132427,y: 0.133552,theta: -0.358953, gridPosition: x: 0, y: 0'
'worldPose: x: 2.142180,y: 0.129860,theta: -0.365016, gridPosition: x: 0, y: 0'
'worldPose: x: 2.151916,y: 0.126129,theta: -0.366312, gridPosition: x: 0, y: 0'
'worldPose: x: 2.161625,y: 0.122373,theta: -0.372869, gridPosition: x: 0, y: 0'
'worldPose: x: 2.171353,y: 0.118555,theta: -0.374959, gridPosition: x: 0, y: 0'
'worldPose: x: 2.181022,y: 0.114737,theta: -0.376289, gridPosition: x: 0, y: 0'
'worldPose: x: 2.188768,y: 0.111664,theta: -0.378772, gridPosition: x: 0, y: 0'
'worldPose: x: 2.196496,y: 0.108575,theta: -0.381216, gridPosition: x: 0, y: 0'
'worldPose: x: 2.210008,y: 0.103102,theta: -0.386970, gridPosition: x: 0, y: 0'
'worldPose: x: 2.219645,y: 0.099129,theta: -0.395202, gridPosition: x: 0, y: 0'
'worldPose: x: 2.229247,y: 0.095100,theta: -0.398262, gridPosition: x: 0, y: 0'
'worldPose: x: 2.253536,y: 0.099935,theta: -0.403605, gridPosition: x: 0, y: 0'
'worldPose: x: 2.279140,y: 0.105495,theta: -0.406887, gridPosition: x: 0, y: 0'
'worldPose: x: 2.288681,y: 0.101371,theta: -0.408954, gridPosition: x: 0, y: 0'
'worldPose: x: 2.298230,y: 0.097213,theta: -0.411778, gridPosition: x: 0, y: 0'
'worldPose: x: 2.305872,y: 0.093861,theta: -0.414364, gridPosition: x: 0, y: 0'
'worldPose: x: 2.315411,y: 0.089643,theta: -0.417507, gridPosition: x: 0, y: 0'
