'worldPose: x: 2.888736,y: 0.214702,theta: 0.036640, gridPosition: x: 0, y: 0'
'worldPose: x: 2.904291,y: 0.215256,theta: 0.034964, gridPosition: x: 0, y: 0'
'worldPose: x: 2.919892,y: 0.215783,theta: 0.033007, gridPosition: x: 0, y: 0'
'worldPose: x: 2.950144,y: 0.246990,theta: 0.029800, gridPosition: x: 0, y: 0'
'worldPose: x: 2.965764,y: 0.247447,theta: 0.028871, gridPosition: x: 0, y: 0'
'worldPose: x: 2.981377,y: 0.247893,theta: 0.028490, gridPosition: x: 0, y: 0'
'worldPose: x: 2.996986,y: 0.248344,theta: 0.029237, gridPosition: x: 0, y: 0'
'worldPose: x: 3.012696,y: 0.248813,theta: 0.030179, gridPosition: x: 0, y: 0'
'worldPose: x: 3.028241,y: 0.249283,theta: 0.030060, gridPosition: x: 0, y: 0'
'worldPose: x: 3.043852,y: 0.249745,theta: 0.029241, gridPosition: x: 0, y: 0'
'worldPose: x: 3.059451,y: 0.250187,theta: 0.027784, gridPosition: x: 0, y: 0'
'worldPose: x: 3.075080,y: 0.250607,theta: 0.026347, gridPosition: x: 0, y: 0'
'worldPose: x: 3.090707,y: 0.251010,theta: 0.025486, gridPosition: x: 0, y: 0'
'worldPose: x: 3.106318,y: 0.251401,theta: 0.024800, gridPosition: x: 0, y: 0'
'worldPose: x: 3.121936,y: 0.251787,theta: 0.024676, gridPosition: x: 0, y: 0'
'worldPose: x: 3.137579,y: 0.252176,theta: 0.024983, gridPosition: x: 0, y: 0'
'worldPose: x: 3.153168,y: 0.252565,theta: 0.024874, gridPosition: x: 0, y: 0'
'worldPose: x: 3.168809,y: 0.252954,theta: 0.024835, gridPosition: x: 0, y: 0'
'worldPose: x: 3.184439,y: 0.253339,theta: 0.024355, gridPosition: x: 0, y: 0'
'worldPose: x: 3.196923,y: 0.253636,theta: 0.023594, gridPosition: x: 0, y: 0'
'worldPose: x: 3.215954,y: 0.254077,theta: 0.022850, gridPosition: x: 0, y: 0'
'worldPose: x: 3.231292,y: 0.254422,theta: 0.022233, gridPosition: x: 0, y: 0'
'worldPose: x: 3.243796,y: 0.254695,theta: 0.021702, gridPosition: x: 0, y: 0'
'worldPose: x: 3.262520,y: 0.255098,theta: 0.021363, gridPosition: x: 0, y: 0'
'worldPose: x: 3.278155,y: 0.255427,theta: 0.020795, gridPosition: x: 0, y: 0'
'worldPose: x: 3.295001,y: 0.255773,theta: 0.020390, gridPosition: x: 0, y: 0'
'worldPose: x: 3.319292,y: 0.251631,theta: 0.021484, gridPosition: x: 0, y: 0'
'worldPose: x: 3.349919,y: 0.245272,theta: 0.023073, gridPosition: x: 0, y: 0'
'worldPose: x: 3.365530,y: 0.245628,theta: 0.022601, gridPosition: x: 0, y: 0'
'worldPose: x: 3.378034,y: 0.245907,theta: 0.022067, gridPosition: x: 0, y: 0'
'worldPose: x: 3.396773,y: 0.246308,theta: 0.020917, gridPosition: x: 0, y: 0'
'worldPose: x: 3.412394,y: 0.246628,theta: 0.020285, gridPosition: x: 0, y: 0'
'worldPose: x: 3.428023,y: 0.246939,theta: 0.019458, gridPosition: x: 0, y: 0'
'worldPose: x: 3.443643,y: 0.247236,theta: 0.018747, gridPosition: x: 0, y: 0'
'worldPose: x: 3.459275,y: 0.247524,theta: 0.018221, gridPosition: x: 0, y: 0'
'worldPose: x: 3.475262,y: 0.247812,theta: 0.017971, gridPosition: x: 0, y: 0'
'worldPose: x: 3.490518,y: 0.248088,theta: 0.018075, gridPosition: x: 0, y: 0'
'worldPose: x: 3.506123,y: 0.248366,theta: 0.017588, gridPosition: x: 0, y: 0'
'worldPose: x: 3.521761,y: 0.248632,theta: 0.016655, gridPosition: x: 0, y: 0'
'worldPose: x: 3.537388,y: 0.248885,theta: 0.015822, gridPosition: x: 0, y: 0'
'worldPose: x: 3.553007,y: 0.249124,theta: 0.014971, gridPosition: x: 0, y: 0'
'worldPose: x: 3.568627,y: 0.249352,theta: 0.014366, gridPosition: x: 0, y: 0'
'worldPose: x: 3.584240,y: 0.249573,theta: 0.014024, gridPosition: x: 0, y: 0'
'worldPose: x: 3.600057,y: 0.249790,theta: 0.013594, gridPosition: x: 0, y: 0'
'worldPose: x: 3.615514,y: 0.249999,theta: 0.013565, gridPosition: x: 0, y: 0'
'worldPose: x: 3.631116,y: 0.250210,theta: 0.013287, gridPosition: x: 0, y: 0'
'worldPose: x: 3.646753,y: 0.250413,theta: 0.012851, gridPosition: x: 0, y: 0'
'worldPose: x: 3.662412,y: 0.250607,theta: 0.012202, gridPosition: x: 0, y: 0'
'worldPose: x: 3.678010,y: 0.250788,theta: 0.011245, gridPosition: x: 0, y: 0'
'worldPose: x: 3.693611,y: 0.250956,theta: 0.010527, gridPosition: x: 0, y: 0'
'worldPose: x: 3.709229,y: 0.251114,theta: 0.009829, gridPosition: x: 0, y: 0'
'worldPose: x: 3.724859,y: 0.261866,theta: 0.007207, gridPosition: x: 0, y: 0'
'worldPose: x: 3.740470,y: 0.261975,theta: 0.007000, gridPosition: x: 0, y: 0'
