'worldPose: x: 15.808991,y: -1.515655,theta: -0.168311, gridPosition: x: 0, y: 0'
'worldPose: x: 15.824399,y: -1.518269,theta: -0.167849, gridPosition: x: 0, y: 0'
'worldPose: x: 15.839792,y: -1.520869,theta: -0.166974, gridPosition: x: 0, y: 0'
'worldPose: x: 15.855197,y: -1.523454,theta: -0.165856, gridPosition: x: 0, y: 0'
'worldPose: x: 15.870626,y: -1.526029,theta: -0.165070, gridPosition: x: 0, y: 0'
'worldPose: x: 15.886021,y: -1.528585,theta: -0.164160, gridPosition: x: 0, y: 0'
'worldPose: x: 15.901453,y: -1.531133,theta: -0.163421, gridPosition: x: 0, y: 0'
'worldPose: x: 15.916874,y: -1.533674,theta: -0.163164, gridPosition: x: 0, y: 0'
'worldPose: x: 15.932286,y: -1.536207,theta: -0.162741, gridPosition: x: 0, y: 0'
'worldPose: x: 15.947700,y: -1.538732,theta: -0.162212, gridPosition: x: 0, y: 0'
'worldPose: x: 15.963125,y: -1.541253,theta: -0.161865, gridPosition: x: 0, y: 0'
'worldPose: x: 15.978552,y: -1.543764,theta: -0.160986, gridPosition: x: 0, y: 0'
'worldPose: x: 15.993970,y: -1.546261,theta: -0.160344, gridPosition: x: 0, y: 0'
'worldPose: x: 16.009393,y: -1.548751,theta: -0.159813, gridPosition: x: 0, y: 0'
'worldPose: x: 16.024823,y: -1.551227,theta: -0.158786, gridPosition: x: 0, y: 0'
'worldPose: x: 16.037151,y: -1.553194,theta: -0.157759, gridPosition: x: 0, y: 0'
'worldPose: x: 16.055690,y: -1.556123,theta: -0.155993, gridPosition: x: 0, y: 0'
'worldPose: x: 16.071125,y: -1.558544,theta: -0.155498, gridPosition: x: 0, y: 0'
'worldPose: x: 16.086567,y: -1.560968,theta: -0.155803, gridPosition: x: 0, y: 0'
'worldPose: x: 16.102031,y: -1.563397,theta: -0.155736, gridPosition: x: 0, y: 0'
'worldPose: x: 16.135414,y: -1.555391,theta: -0.153295, gridPosition: x: 0, y: 0'
'worldPose: x: 16.150901,y: -1.557775,theta: -0.152511, gridPosition: x: 0, y: 0'
'worldPose: x: 16.166301,y: -1.560136,theta: -0.151835, gridPosition: x: 0, y: 0'
