'worldPose: x: 0.886901,y: -0.708992,theta: 0.014333, gridPosition: x: 0, y: 0'
'worldPose: x: 0.892803,y: -0.708907,theta: 0.014330, gridPosition: x: 0, y: 0'
'worldPose: x: 0.899054,y: -0.708819,theta: 0.013988, gridPosition: x: 0, y: 0'
'worldPose: x: 0.903218,y: -0.708761,theta: 0.013887, gridPosition: x: 0, y: 0'
'worldPose: x: 0.909485,y: -0.708674,theta: 0.013865, gridPosition: x: 0, y: 0'
'worldPose: x: 0.915371,y: -0.708591,theta: 0.014242, gridPosition: x: 0, y: 0'
'worldPose: x: 0.922312,y: -0.708490,theta: 0.014604, gridPosition: x: 0, y: 0'
'worldPose: x: 0.929258,y: -0.708387,theta: 0.015000, gridPosition: x: 0, y: 0'
'worldPose: x: 0.936222,y: -0.708281,theta: 0.015294, gridPosition: x: 0, y: 0'
'worldPose: x: 0.942102,y: -0.708191,theta: 0.015499, gridPosition: x: 0, y: 0'
'worldPose: x: 0.948005,y: -0.708099,theta: 0.015779, gridPosition: x: 0, y: 0'
'worldPose: x: 0.953216,y: -0.708015,theta: 0.016102, gridPosition: x: 0, y: 0'
'worldPose: x: 0.957381,y: -0.707948,theta: 0.016203, gridPosition: x: 0, y: 0'
'worldPose: x: 0.963630,y: -0.707846,theta: 0.016284, gridPosition: x: 0, y: 0'
'worldPose: x: 0.967794,y: -0.707778,theta: 0.016305, gridPosition: x: 0, y: 0'
'worldPose: x: 0.974046,y: -0.707676,theta: 0.016347, gridPosition: x: 0, y: 0'
'worldPose: x: 0.979253,y: -0.707590,theta: 0.016544, gridPosition: x: 0, y: 0'
'worldPose: x: 0.984463,y: -0.707502,theta: 0.017035, gridPosition: x: 0, y: 0'
'worldPose: x: 0.989323,y: -0.707417,theta: 0.017830, gridPosition: x: 0, y: 0'
'worldPose: x: 0.994181,y: -0.707327,theta: 0.018583, gridPosition: x: 0, y: 0'
'worldPose: x: 0.999391,y: -0.707230,theta: 0.018566, gridPosition: x: 0, y: 0'
'worldPose: x: 1.004596,y: -0.707135,theta: 0.018064, gridPosition: x: 0, y: 0'
'worldPose: x: 1.009807,y: -0.707043,theta: 0.017541, gridPosition: x: 0, y: 0'
'worldPose: x: 1.015013,y: -0.706953,theta: 0.017119, gridPosition: x: 0, y: 0'
'worldPose: x: 1.019180,y: -0.706881,theta: 0.017462, gridPosition: x: 0, y: 0'
'worldPose: x: 1.024043,y: -0.706792,theta: 0.018725, gridPosition: x: 0, y: 0'
'worldPose: x: 1.028201,y: -0.706711,theta: 0.020073, gridPosition: x: 0, y: 0'
'worldPose: x: 1.033084,y: -0.706610,theta: 0.021052, gridPosition: x: 0, y: 0'
'worldPose: x: 1.038272,y: -0.706500,theta: 0.021070, gridPosition: x: 0, y: 0'
'worldPose: x: 1.043478,y: -0.706392,theta: 0.020214, gridPosition: x: 0, y: 0'
'worldPose: x: 1.047642,y: -0.706310,theta: 0.019352, gridPosition: x: 0, y: 0'
'worldPose: x: 1.053891,y: -0.706193,theta: 0.018595, gridPosition: x: 0, y: 0'
'worldPose: x: 1.058059,y: -0.706115,theta: 0.018862, gridPosition: x: 0, y: 0'
'worldPose: x: 1.063267,y: -0.706013,theta: 0.020081, gridPosition: x: 0, y: 0'
'worldPose: x: 1.069512,y: -0.705880,theta: 0.021910, gridPosition: x: 0, y: 0'
'worldPose: x: 1.074721,y: -0.705763,theta: 0.022792, gridPosition: x: 0, y: 0'
'worldPose: x: 1.079929,y: -0.705644,theta: 0.022749, gridPosition: x: 0, y: 0'
'worldPose: x: 1.085136,y: -0.705527,theta: 0.022325, gridPosition: x: 0, y: 0'
'worldPose: x: 1.090340,y: -0.705413,theta: 0.021420, gridPosition: x: 0, y: 0'
'worldPose: x: 1.094507,y: -0.705325,theta: 0.021078, gridPosition: x: 0, y: 0'
'worldPose: x: 1.100756,y: -0.705192,theta: 0.021556, gridPosition: x: 0, y: 0'
'worldPose: x: 1.104921,y: -0.705100,theta: 0.022502, gridPosition: x: 0, y: 0'
'worldPose: x: 1.111169,y: -0.704953,theta: 0.024103, gridPosition: x: 0, y: 0'
'worldPose: x: 1.116379,y: -0.704824,theta: 0.024996, gridPosition: x: 0, y: 0'
'worldPose: x: 1.121589,y: -0.704693,theta: 0.025371, gridPosition: x: 0, y: 0'
'worldPose: x: 1.124715,y: -0.704613,theta: 0.025382, gridPosition: x: 0, y: 0'
'worldPose: x: 1.132004,y: -0.704430,theta: 0.024942, gridPosition: x: 0, y: 0'
'worldPose: x: 1.137209,y: -0.704302,theta: 0.024483, gridPosition: x: 0, y: 0'
'worldPose: x: 1.142412,y: -0.704173,theta: 0.024878, gridPosition: x: 0, y: 0'
'worldPose: x: 1.147616,y: -0.704040,theta: 0.025964, gridPosition: x: 0, y: 0'
'worldPose: x: 1.151782,y: -0.703930,theta: 0.026816, gridPosition: x: 0, y: 0'
'worldPose: x: 1.151293,y: -0.671908,theta: 0.027379, gridPosition: x: 0, y: 0'
'worldPose: x: 1.156498,y: -0.671766,theta: 0.027083, gridPosition: x: 0, y: 0'
'worldPose: x: 1.161708,y: -0.671627,theta: 0.026345, gridPosition: x: 0, y: 0'
'worldPose: x: 1.166910,y: -0.671493,theta: 0.025477, gridPosition: x: 0, y: 0'
'worldPose: x: 1.172118,y: -0.671362,theta: 0.024927, gridPosition: x: 0, y: 0'
'worldPose: x: 1.177325,y: -0.671232,theta: 0.025129, gridPosition: x: 0, y: 0'
'worldPose: x: 1.181833,y: -0.671116,theta: 0.026253, gridPosition: x: 0, y: 0'
'worldPose: x: 1.185997,y: -0.671002,theta: 0.027846, gridPosition: x: 0, y: 0'
'worldPose: x: 1.191205,y: -0.670852,theta: 0.029160, gridPosition: x: 0, y: 0'
'worldPose: x: 1.196408,y: -0.670699,theta: 0.029743, gridPosition: x: 0, y: 0'
'worldPose: x: 1.201616,y: -0.670544,theta: 0.029519, gridPosition: x: 0, y: 0'
'worldPose: x: 1.206820,y: -0.670393,theta: 0.028735, gridPosition: x: 0, y: 0'
'worldPose: x: 1.212020,y: -0.670246,theta: 0.027958, gridPosition: x: 0, y: 0'
'worldPose: x: 1.217233,y: -0.670101,theta: 0.027734, gridPosition: x: 0, y: 0'
'worldPose: x: 1.222441,y: -0.669955,theta: 0.028278, gridPosition: x: 0, y: 0'
'worldPose: x: 1.227645,y: -0.669805,theta: 0.029265, gridPosition: x: 0, y: 0'
'worldPose: x: 1.232851,y: -0.669649,theta: 0.030362, gridPosition: x: 0, y: 0'
'worldPose: x: 1.238060,y: -0.669488,theta: 0.030972, gridPosition: x: 0, y: 0'
'worldPose: x: 1.243262,y: -0.669327,theta: 0.031043, gridPosition: x: 0, y: 0'
'worldPose: x: 1.248467,y: -0.669165,theta: 0.031006, gridPosition: x: 0, y: 0'
