'worldPose: x: -2.477520,y: -0.181590,theta: 0.040416, gridPosition: x: 0, y: 0'
'worldPose: x: -2.442577,y: -0.160201,theta: 0.038409, gridPosition: x: 0, y: 0'
'worldPose: x: -2.442577,y: -0.160201,theta: 0.038409, gridPosition: x: 0, y: 0'
'worldPose: x: -2.417631,y: -0.180128,theta: 0.039604, gridPosition: x: 0, y: 0'
'worldPose: x: -2.417631,y: -0.180128,theta: 0.039604, gridPosition: x: 0, y: 0'
'worldPose: x: -2.408730,y: -0.167327,theta: 0.038204, gridPosition: x: 0, y: 0'
'worldPose: x: -2.408730,y: -0.167327,theta: 0.038204, gridPosition: x: 0, y: 0'
'worldPose: x: -2.370053,y: -0.174688,theta: 0.038744, gridPosition: x: 0, y: 0'
'worldPose: x: -2.370053,y: -0.174688,theta: 0.038744, gridPosition: x: 0, y: 0'
'worldPose: x: -2.324952,y: -0.167214,theta: 0.037138, gridPosition: x: 0, y: 0'
'worldPose: x: -2.324952,y: -0.167214,theta: 0.037138, gridPosition: x: 0, y: 0'
'worldPose: x: -2.271523,y: -0.166654,theta: 0.038890, gridPosition: x: 0, y: 0'
'worldPose: x: -2.271523,y: -0.166654,theta: 0.038890, gridPosition: x: 0, y: 0'
'worldPose: x: -2.235864,y: -0.177193,theta: 0.035954, gridPosition: x: 0, y: 0'
'worldPose: x: -2.235864,y: -0.177193,theta: 0.035954, gridPosition: x: 0, y: 0'
'worldPose: x: -2.218271,y: -0.160007,theta: 0.038563, gridPosition: x: 0, y: 0'
'worldPose: x: -2.218271,y: -0.160007,theta: 0.038563, gridPosition: x: 0, y: 0'
'worldPose: x: -2.170400,y: -0.166112,theta: 0.034729, gridPosition: x: 0, y: 0'
'worldPose: x: -2.170400,y: -0.166112,theta: 0.034729, gridPosition: x: 0, y: 0'
'worldPose: x: -2.175249,y: -0.162126,theta: 0.038528, gridPosition: x: 0, y: 0'
'worldPose: x: -2.175249,y: -0.162126,theta: 0.038528, gridPosition: x: 0, y: 0'
'worldPose: x: -2.120487,y: -0.157729,theta: 0.034125, gridPosition: x: 0, y: 0'
'worldPose: x: -2.120487,y: -0.157729,theta: 0.034125, gridPosition: x: 0, y: 0'
'worldPose: x: -2.107431,y: -0.159777,theta: 0.035881, gridPosition: x: 0, y: 0'
'worldPose: x: -2.107431,y: -0.159777,theta: 0.035881, gridPosition: x: 0, y: 0'
'worldPose: x: -2.058411,y: -0.156709,theta: 0.030660, gridPosition: x: 0, y: 0'
'worldPose: x: -2.058411,y: -0.156709,theta: 0.030660, gridPosition: x: 0, y: 0'
'worldPose: x: -2.043641,y: -0.159922,theta: 0.033868, gridPosition: x: 0, y: 0'
'worldPose: x: -2.043641,y: -0.159922,theta: 0.033868, gridPosition: x: 0, y: 0'
'worldPose: x: -2.009617,y: -0.169720,theta: 0.028247, gridPosition: x: 0, y: 0'
'worldPose: x: -1.983978,y: -0.166657,theta: 0.033271, gridPosition: x: 0, y: 0'
'worldPose: x: -1.983978,y: -0.166657,theta: 0.033271, gridPosition: x: 0, y: 0'
'worldPose: x: -1.983978,y: -0.166657,theta: 0.033271, gridPosition: x: 0, y: 0'
'worldPose: x: -1.946482,y: -0.176420,theta: 0.029731, gridPosition: x: 0, y: 0'
'worldPose: x: -1.946482,y: -0.176420,theta: 0.029731, gridPosition: x: 0, y: 0'
'worldPose: x: -1.908328,y: -0.174671,theta: 0.030027, gridPosition: x: 0, y: 0'
'worldPose: x: -1.908328,y: -0.174671,theta: 0.030027, gridPosition: x: 0, y: 0'
'worldPose: x: -1.879348,y: -0.196746,theta: 0.029566, gridPosition: x: 0, y: 0'
'worldPose: x: -1.870972,y: -0.184407,theta: 0.031488, gridPosition: x: 0, y: 0'
'worldPose: x: -1.870972,y: -0.184407,theta: 0.031488, gridPosition: x: 0, y: 0'
'worldPose: x: -1.811716,y: -0.182789,theta: 0.035023, gridPosition: x: 0, y: 0'
'worldPose: x: -1.811716,y: -0.182789,theta: 0.035023, gridPosition: x: 0, y: 0'
'worldPose: x: -1.811716,y: -0.182789,theta: 0.035023, gridPosition: x: 0, y: 0'
'worldPose: x: -1.803260,y: -0.193955,theta: 0.035337, gridPosition: x: 0, y: 0'
'worldPose: x: -1.803260,y: -0.193955,theta: 0.035337, gridPosition: x: 0, y: 0'
'worldPose: x: -1.769526,y: -0.166658,theta: 0.036746, gridPosition: x: 0, y: 0'
'worldPose: x: -1.746688,y: -0.197893,theta: 0.042186, gridPosition: x: 0, y: 0'
'worldPose: x: -1.746688,y: -0.197893,theta: 0.042186, gridPosition: x: 0, y: 0'
'worldPose: x: -1.746688,y: -0.197893,theta: 0.042186, gridPosition: x: 0, y: 0'
'worldPose: x: -1.698939,y: -0.166675,theta: 0.041919, gridPosition: x: 0, y: 0'
'worldPose: x: -1.688586,y: -0.186599,theta: 0.046260, gridPosition: x: 0, y: 0'
'worldPose: x: -1.688586,y: -0.186599,theta: 0.046260, gridPosition: x: 0, y: 0'
'worldPose: x: -1.688586,y: -0.186599,theta: 0.046260, gridPosition: x: 0, y: 0'
'worldPose: x: -1.632927,y: -0.168851,theta: 0.047132, gridPosition: x: 0, y: 0'
'worldPose: x: -1.632927,y: -0.168851,theta: 0.047132, gridPosition: x: 0, y: 0'
'worldPose: x: -1.627673,y: -0.176736,theta: 0.049910, gridPosition: x: 0, y: 0'
'worldPose: x: -1.627673,y: -0.176736,theta: 0.049910, gridPosition: x: 0, y: 0'
'worldPose: x: -1.574101,y: -0.168876,theta: 0.051173, gridPosition: x: 0, y: 0'
