'worldPose: x: 105.843487,y: 63.329194,theta: 1.560983, gridPosition: x: 0, y: 0'
'worldPose: x: 105.843719,y: 63.355471,theta: 1.562620, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828814,y: 63.376261,theta: 1.567530, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828875,y: 63.402267,theta: 1.569098, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828890,y: 63.428356,theta: 1.571027, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828858,y: 63.454390,theta: 1.572653, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828789,y: 63.480445,theta: 1.573868, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828707,y: 63.506449,theta: 1.573854, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828646,y: 63.532530,theta: 1.572436, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828644,y: 63.558551,theta: 1.569789, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828717,y: 63.584596,theta: 1.566738, gridPosition: x: 0, y: 0'
'worldPose: x: 105.828867,y: 63.611020,theta: 1.564226, gridPosition: x: 0, y: 0'
'worldPose: x: 105.829059,y: 63.636664,theta: 1.562833, gridPosition: x: 0, y: 0'
'worldPose: x: 105.829277,y: 63.662690,theta: 1.562179, gridPosition: x: 0, y: 0'
'worldPose: x: 105.829509,y: 63.688749,theta: 1.561727, gridPosition: x: 0, y: 0'
'worldPose: x: 105.829752,y: 63.714832,theta: 1.561281, gridPosition: x: 0, y: 0'
'worldPose: x: 105.830007,y: 63.740838,theta: 1.560814, gridPosition: x: 0, y: 0'
'worldPose: x: 105.830279,y: 63.766874,theta: 1.559921, gridPosition: x: 0, y: 0'
'worldPose: x: 105.830591,y: 63.792904,theta: 1.557957, gridPosition: x: 0, y: 0'
'worldPose: x: 105.830962,y: 63.818933,theta: 1.555710, gridPosition: x: 0, y: 0'
'worldPose: x: 105.831377,y: 63.844967,theta: 1.554408, gridPosition: x: 0, y: 0'
'worldPose: x: 105.831819,y: 63.871374,theta: 1.553842, gridPosition: x: 0, y: 0'
'worldPose: x: 105.832265,y: 63.897157,theta: 1.553195, gridPosition: x: 0, y: 0'
'worldPose: x: 105.832734,y: 63.923109,theta: 1.552552, gridPosition: x: 0, y: 0'
'worldPose: x: 105.833212,y: 63.949148,theta: 1.552338, gridPosition: x: 0, y: 0'
'worldPose: x: 105.833701,y: 63.975219,theta: 1.551788, gridPosition: x: 0, y: 0'
'worldPose: x: 105.834207,y: 64.001205,theta: 1.550885, gridPosition: x: 0, y: 0'
'worldPose: x: 105.834747,y: 64.027272,theta: 1.549570, gridPosition: x: 0, y: 0'
'worldPose: x: 105.835320,y: 64.053291,theta: 1.548199, gridPosition: x: 0, y: 0'
